Loading tags started
Loading tags done!
Loading voteshares
Loading voteshare done
tag,map,p@1,p@5,p@10,topUser
css,0.34868132928329865,1.0,0.6,0.4,187606
curl,0.7015530044140029,1.0,0.8,0.8,118068
file-upload,0.5981481481481482,0.0,0.8,0.5,118068
select,0.2963565233785822,1.0,0.4,0.2,491243
html5,0.022222222222222223,0.0,0.0,0.0,19068
upload,0.5456009070294785,0.0,0.8,0.4,118068
zend-framework2,0.7451752647977924,1.0,1.0,1.0,958642
csv,0.6499109413718096,1.0,0.6,0.8,324584
parsing,0.5157082529565593,1.0,1.0,0.7,208809
ajax,0.43707343665677806,0.0,0.8,0.8,19068
twitter,0.7585537918871252,1.0,0.8,0.5,26406
java,0.6533104150751209,1.0,0.8,0.4,157882
wordpress-plugin,0.5984752541243126,1.0,0.6,0.3,1287812
xml,0.7946028375976225,0.0,0.6,0.8,367456
api,0.42416831820312834,1.0,0.6,0.3,52087
validation,0.37697433140553527,1.0,0.8,0.5,1392379
python,0.5555555555555556,1.0,0.2,0.1,100297
if-statement,0.36296296296296293,1.0,0.6,0.4,250259
javascript,0.3848581835430457,0.0,0.4,0.7,19068
regex,0.5052142003882968,1.0,1.0,1.0,548225
utf-8,0.9342749298631651,1.0,1.0,0.9,476
arrays,0.5367012657208642,1.0,1.0,0.9,476
doctrine,0.8776744912588358,1.0,1.0,1.0,569101
symfony2,0.8363065132631501,1.0,1.0,0.9,1832745
object,0.5911830347118785,1.0,1.0,0.9,476
dom,0.7746652723280051,1.0,1.0,0.8,208809
simplexml,0.7640166325680199,1.0,1.0,1.0,367456
login,0.10964912280701754,0.0,0.0,0.1,118068
cookies,0.6027212401125446,0.0,0.8,0.6,118068
search,0.45617202759423187,1.0,0.4,0.3,118068
file,0.2565224304268159,1.0,0.2,0.4,118068
encryption,0.7322957744010374,1.0,0.8,0.6,589259
get,0.29332620114565844,0.0,0.6,0.3,118068
yii,0.7168265271389854,1.0,1.0,0.9,720508
paypal,0.4942146967482645,0.0,0.6,0.5,1188826
email,0.4285144783517049,1.0,0.4,0.4,118068
table,0.125,0.0,0.2,0.1,623041
redirect,0.22935255090368337,1.0,0.4,0.2,851273
include,0.04412045674421912,0.0,0.0,0.0,892493
variables,0.29095242986959086,1.0,0.6,0.6,476
facebook,0.7516563220508008,1.0,1.0,0.8,337227
loops,0.41485816472336223,1.0,0.8,0.7,541091
xampp,0.0,0.0,0.0,0.0,4833
url,0.2397969547493249,1.0,0.4,0.4,50079
phpunit,0.6539438093971487,1.0,0.8,0.6,285578
facebook-graph-api,0.9274813432611418,1.0,1.0,0.9,1343690
php,0.18690505238393249,1.0,0.4,0.6,1415724
date,0.7829258336808295,1.0,1.0,0.9,250259
wordpress,0.6064020515323248,1.0,0.8,0.9,1287812
caching,0.7247162286532365,1.0,0.8,0.5,138475
sql-server,0.23252125226173562,1.0,0.4,0.2,105929
oop,0.6270297724702802,1.0,1.0,1.0,208809
datetime,0.7818713780823221,1.0,0.8,0.8,250259
apache,0.634025976371519,1.0,0.6,0.7,548225
post,0.05805700474321854,0.0,0.2,0.3,872168
function,0.5903961300769559,1.0,0.8,0.7,250259
html,0.2759499518793421,1.0,0.6,0.7,3859027
mysql,0.3302573517182602,0.0,0.6,0.7,118068
web-services,0.42039800995024873,1.0,0.2,0.2,367456
cron,0.2916666666666667,0.0,0.2,0.2,118068
image,0.7720366427113831,1.0,1.0,0.8,187606
laravel,0.7622881267966668,1.0,1.0,1.0,1959747
joomla,0.6501768211018357,1.0,0.8,0.6,1362108
