Loading tags started
Loading tags done!
Loading voteshares
Loading voteshare done
tag,map,p@1,p@5,p@10,topUser
exception,0.6009634761042467,1.0,0.6,0.7,22656
c++,0.1913448071536307,0.0,0.2,0.1,57695
spring-mvc,0.7823372119634647,1.0,1.0,1.0,438154
tomcat,0.5661231042297775,1.0,0.6,0.7,157882
parsing,0.14816877407373655,0.0,0.4,0.2,120163
java,0.17315621733145098,1.0,0.6,0.6,22656
collections,0.5811204602610063,1.0,0.6,0.7,22656
osx,0.2341269841269841,0.0,0.0,0.2,230513
xml,0.5962288583959008,1.0,0.8,0.8,383861
jar,0.6228466579198896,1.0,0.6,0.5,22656
javafx,0.935019740607976,1.0,1.0,0.9,1155209
sockets,0.7580797548323461,0.0,0.8,0.9,207421
hashmap,0.5364446401551664,1.0,0.2,0.5,22656
algorithm,0.7049489829300651,1.0,1.0,0.8,572670
file-io,0.6681938431938432,1.0,0.6,0.6,157882
c#,0.504040404040404,1.0,0.4,0.5,22656
python,1.0,1.0,0.6,0.3,95810
io,0.576081074722379,1.0,0.6,0.4,22656
javascript,0.576244719614395,1.0,0.6,0.6,157882
regex,0.7601820177960914,1.0,1.0,0.8,548225
logging,0.6408818576059956,1.0,0.6,0.7,605744
spring-security,0.9530345471521944,1.0,1.0,1.0,241990
arrays,0.3813842561892407,1.0,0.6,0.4,22656
jsf,0.8955470488590693,1.0,1.0,1.0,157882
object,0.5582592660298844,1.0,0.8,0.5,22656
jsp,0.6305921482396355,1.0,1.0,0.9,157882
methods,0.4798343651341402,1.0,0.8,0.7,522444
hibernate,0.747201495268067,1.0,1.0,1.0,571407
jaxb,0.9250295159386069,1.0,1.0,0.8,383861
file,0.40445251642163416,1.0,0.4,0.4,22656
encryption,0.8620535088948031,1.0,1.0,0.8,589259
selenium,0.5356526971253532,1.0,0.8,0.5,1273080
netbeans,0.5664750403348828,1.0,1.0,0.7,992484
google-app-engine,0.7753426408019861,1.0,1.0,1.0,12030
loops,0.3422949370317791,1.0,0.4,0.3,335858
arraylist,0.537859759409715,1.0,1.0,0.7,22656
concurrency,0.5848910299482186,1.0,0.6,0.7,179850
swing,0.5384053833481646,1.0,0.6,0.8,992484
struts2,0.966923076923077,1.0,1.0,0.9,573032
php,1.0,1.0,0.6,0.3,157882
date,0.766194684944685,1.0,0.8,0.7,22656
gwt,0.7837679763871273,1.0,0.8,0.8,116472
annotations,0.7732958037585297,1.0,1.0,0.9,438154
inheritance,0.6488024950196002,1.0,0.8,0.6,22656
intellij-idea,0.7601190476190476,1.0,0.8,0.5,104891
spring,0.6958226953772628,1.0,1.0,1.0,438154
oop,0.42140523535372143,1.0,0.6,0.5,22656
swt,0.701544059913634,1.0,1.0,0.9,1449199
apache,0.10299771912675139,0.0,0.2,0.1,1264321
generics,0.6829623218445049,1.0,1.0,0.7,22656
html,0.47423631988849374,1.0,0.8,0.4,157882
multithreading,0.4324474883927427,1.0,0.6,0.7,179850
mysql,0.6393844827312235,1.0,0.8,0.8,157882
web-services,0.6198539872115836,1.0,0.8,0.9,70604
jvm,0.5744318181818181,0.0,0.6,0.5,57695
image,0.7855619425138142,1.0,0.6,0.7,992484
oracle,0.7005223729730309,1.0,0.8,0.7,10397
jni,0.5752839265997161,0.0,0.6,0.6,207421
reflection,0.6337988052200851,1.0,0.8,0.6,438154
sqlite,0.8341269841269842,1.0,0.8,0.5,11654
unit-testing,0.8040031265031263,1.0,1.0,0.8,571407
maven,0.5629791524602252,0.0,0.8,0.6,296328
list,0.5703444438628889,1.0,0.8,0.6,22656
java-ee,0.5122312088647369,1.0,0.8,0.8,70604
nullpointerexception,0.3384760741988117,1.0,0.4,0.4,522444
eclipse,0.5522425768522442,1.0,0.8,0.8,6309
user-interface,0.5617335533697803,1.0,0.8,0.6,992484
http,0.7191403834260977,1.0,0.6,0.6,157882
applet,0.7037414965986395,1.0,0.8,0.5,418556
soap,1.0,1.0,0.2,0.1,383861
string,0.4047839108292712,1.0,0.4,0.5,22656
scala,0.5719690506021103,0.0,0.8,0.6,53013
android,0.551565712420287,1.0,1.0,0.9,115145
jdbc,0.6815659595737952,1.0,0.8,0.9,157882
jquery,0.8666666666666667,1.0,0.6,0.3,157882
sql,0.7573877883141988,1.0,1.0,1.0,521799
database,0.4534534432054675,0.0,0.6,0.5,37213
security,0.6751488095238095,1.0,0.6,0.7,418556
jboss,0.9035714285714286,1.0,1.0,0.7,21234
jtable,0.705192723942724,1.0,0.6,0.8,131872
jersey,0.7439665278899729,1.0,0.8,0.6,290799
libgdx,0.8900137886804554,1.0,1.0,1.0,960524
linux,0.08712121212121213,0.0,0.0,0.0,139985
sorting,0.5347899575172302,1.0,0.4,0.6,22656
json,0.874320233965315,1.0,0.8,0.9,438154
jpa,0.8113003244769075,1.0,0.8,0.8,70604
hadoop,0.7373336309879173,1.0,1.0,0.7,1279787
class,0.3284064716945685,1.0,0.6,0.5,22656
design-patterns,0.49418250058644136,1.0,0.4,0.4,157882
log4j,0.47555555555555556,0.0,0.6,0.4,139985
rest,0.21264355264649354,0.0,0.6,0.3,2314073
junit,0.6353063487658657,1.0,0.6,0.6,1836
jpanel,0.7874860194153672,1.0,0.8,0.7,992484
ant,0.6336443471058856,0.0,0.4,0.7,256618
windows,0.0625,0.0,0.0,0.0,418556
serialization,0.38639974303218655,0.0,0.6,0.5,207421
performance,0.425503837976787,0.0,0.4,0.5,57695
jframe,0.7722727877325614,1.0,0.8,0.8,522444
servlets,0.6445531488159256,1.0,0.8,0.7,157882
awt,0.791553843759726,1.0,0.8,0.8,992484
Avg Map = 0.6167337832980626
